X coordinate,Y coordinate,stepratio,photoncount,label
64,31,0.555915,28637.45383,0
,,1.14227,83322.57287,1
,,2.071188,631170.735,1
,,3.939049,14628.42966,1
60,53,0.397881,17532.56514,0
,,1.717596,142076.5539,1
42,33,1.692582,76644.28685,1
,,0.477398,166449.3003,0
,,0.657849,46839.59541,0
54,76,2.097485,84996.70519,1
,,2.040476,153974.5219,1
,,1.368049,17850.17858,1
56,102,0.321286,59460.11652,0
,,1.953342,175841.6463,1
44,94,2.346934,21982.68631,1
,,2.177319,299053.0706,1
46,152,1.386192,233781.6904,1
,,1.372862,227866.9856,1
62,152,2.323911,156783.8795,1
,,2.551309,675074.4788,1
46,175,1.233712,13986.87257,1
,,3.674537,95105.67343,1
,,1.459822,146658.6062,1
,,2.454239,256108.3234,1
70,184,0.613076,49300.20452,0
,,1.436557,39027.83489,1
44,194,1.80617,377088.3832,1
,,1.563865,196481.1883,1
,,1.916803,349826.7867,1
44,208,1.025669,13033.39019,1
,,2.338947,343117.2091,1
,,2.266435,723821.6341,1
47,168,1.824292,8988.214131,1
,,0.540003,70006.83211,0
,,1.7945,560313.3682,1
56,236,0.654359,32269.14734,0
,,2.337882,252843.9112,1
50,234,1.936468,87434.28926,1
,,1.830903,196934.0184,1
7,7,1.167513,3836.697926,1
,,2.638215,192201.8752,1
,,2.337352,685157.7954,1
8,24,0.28594,28810.80712,0
,,2.001845,206824.3312,1
,,2.434997,387819.9457,1
24,35,0.185007,32740.27063,0
,,1.532649,138743.4582,1
,,1.573978,188794.4993,1
9,56,0.020823,9052.036164,0
,,1.174448,66562.71041,1
,,1.339308,95340.48982,1
14,78,0.228076,24657.83633,0
,,1.41094,176304.7704,1
,,2.176581,210874.3389,1
7,78,1.089636,18589.40315,1
,,2.464223,290791.1878,1
,,3.148196,227156.2099,1
38,70,1.230763,4193.514853,1
,,0.228421,17468.68168,0
,,1.355038,145134.2386,1
14,99,0.266781,3826.773172,0
,,2.083224,497264.204,1
12,132,1.702659,101264.6534,1
,,1.745363,423458.2956,1
26,144,0.761059,12480.9629,0
,,0.648563,153825.1739,0
,,2.647101,950365.6896,1
,,2.865902,356768.1652,1
36,127,2.051749,6025.348121,1
,,2.432116,78056.23305,1
,,3.373314,70112.12676,1
,,1.814275,120190.2984,1
10,158,1.938351,27832.31114,1
,,2.574266,1179879.542,1
5,216,0.643119,36627.09539,0
,,2.090182,61588.55832,1
,,1.590787,62747.22479,1
,,1.86225,99792.90202,1
8,228,0.653378,74271.06814,0
,,2.54965,101232.7083,1
,,2.530081,506528.3669,1
30,234,1.000995,18320.97693,1
,,1.698355,64134.44428,1
,,1.890545,554853.7975,1
20,225,0.370398,4920.968321,0
,,3.603734,34832.63001,1
,,3.06278,306018.4316,1
,,3.443369,164210.3544,1
12,220,1.673784,57923.49158,1
,,1.791497,850257.3666,1
37,230,0.634029,18419.51276,0
,,2.142918,275750.3838,1
,,2.583013,627671.8543,1
31,223,1.224901,10974.05933,1
,,0.895909,69206.39425,0
,,2.539583,49483.90411,1
,,2.397751,265441.6433,1
43,208,0.113631,8458.724291,0
,,1.662002,322327.9613,1
,,1.842058,605862.6958,1
47,168,1.987193,13397.0085,1
,,0.535151,73725.64022,0
,,2.592813,38907.36595,1
,,1.657011,531609.4481,1
74,77,0.397647,43558.96105,0
,,2.240798,321050.3736,1
,,1.964714,989400.4423,1
121,244,1.343932,24877.47228,1
,,1.967716,103414.801,1
,,2.158181,228644.9072,1
193,241,0.268084,16992.14434,0
,,1.484043,117663.8309,1
,,1.602528,430615.7165,1
183,229,1.865204,41484.78976,1
,,2.556848,79221.46594,1
144,216,0.058408,7211.235722,0
,,0.291773,48891.50782,0
,,1.563561,97370.79905,1
204,230,0.380381,7575.318226,0
,,0.472663,22956.52766,0
,,1.728667,218567.221,1
,,1.760291,285096.7317,1
209,248,0.326931,8693.421767,0
,,0.949792,92279.19124,0
,,1.324715,278494.7181,1
223,229,1.557507,116439.368,1
,,1.100568,44242.16676,1
224,213,0.999033,13907.63504,0
,,1.811399,165634.5049,1
,,1.229158,49600.3063,1
250,212,0.333419,7226.912346,0
,,0.323444,44736.7431,0
,,1.472764,90371.41333,1
,,1.570247,269846.9817,1
246,164,1.454579,15172.63346,1
,,1.717228,61139.87893,1
110,232,0.617523,31087.75452,0
,,1.78243,315759.1373,1
92,202,0.268589,16176.04551,0
,,2.292119,86350.6224,1
,,2.070976,312613.8385,1
53,226,2.409564,608359.7035,1
58,250,1.003574,58026.21276,1
,,2.171138,1415665.553,1
,,1.795445,164072.1409,1
78,226,1.715404,32404.23987,1
,,1.772677,325190.9813,1
220,127,0.461951,22008.58581,0
,,1.392614,99273.73961,1
192,204,0.894195,17912.69972,0
,,1.93273,144937.6488,1
134,213,0.761581,41759.02748,0
,,1.606341,98642.08136,1
,,2.410006,135420.6978,1
187,191,1.771578,66776.24872,1
,,2.05846,106838.4275,1
102,240,0.606099,5955.001904,0
,,0.932955,19441.20648,0
,,1.593606,44494.94317,1
,,2.143293,54422.84918,1
68,214,1.099478,18804.67086,1
,,0.40049,36021.74776,0
,,1.891476,396824.6683,1
,,1.714211,143912.2156,1
68,138,2.338619,17628.60508,1
,,0.785842,71470.27205,0
,,2.114891,96578.91994,1
,,1.071177,35207.75239,1
190,170,0.870282,4940.795848,0
,,0.257173,33831.21947,0
,,0.95532,56077.83731,0
,,2.404947,134241.8162,1
143,149,0.615079,19005.01801,0
,,0.420342,55087.51397,0
